condition,trials,mean_of_mean_rmse,std_of_mean_rmse,mean_final_rmse,avg_runtime_s,total_runtime_s,mean_collision_count,mean_collision_events_analyzed,mean_collision_peak_rmse,mean_collision_peak_delta_rmse,mean_collision_recovery_time_steps,mean_collision_recovery_success_rate,adaptive_noise_alpha,adaptive_noise_beta,adaptive_noise_gamma,adaptive_noise_smoothing_enabled,scenario
noise_a0p05_b0p005_g0p6,8.0,0.03530875107746692,0.006178534140998669,0.03383299597771838,0.48651556387494566,3.8921245109995652,19.875,19.75,0.12890925746742646,0.09524430215939059,31.186798245614035,0.9612768665158371,0.05,0.005,0.6,true,with_collision
noise_a0p05_b0p005_g0p8,8.0,0.034882590951330714,0.006152795831050864,0.03525965887820348,0.4837639668749034,3.8701117349992273,19.875,19.75,0.12881534735593062,0.0950157863242732,30.098791510025062,0.9690893665158371,0.05,0.005,0.8,true,with_collision
noise_a0p05_b0p01_g0,8.0,0.03414505216583348,0.005094101553420323,0.031083988258615136,0.49204686000007314,3.936374880000585,19.875,19.75,0.1271199652507065,0.09331437897626285,28.54125078320802,0.9612768665158371,0.05,0.01,0.0,false,with_collision
noise_a0p05_b0p01_g0p6,8.0,0.0348473369962885,0.005767873838710416,0.034082073310855776,0.4846476239999902,3.8771809919999214,19.875,19.75,0.13037918651166622,0.09640598708778642,29.11313309314954,0.9690893665158371,0.05,0.01,0.6,true,with_collision
noise_a0p05_b0p01_g0p8,8.0,0.03492797845747918,0.006362270209682597,0.035384918097406626,0.4849230933750732,3.8793847470005858,19.875,19.75,0.13006153758883154,0.09635324151983866,29.246262270258978,0.9612768665158371,0.05,0.01,0.8,true,with_collision
noise_a0p05_b0p05_g0,8.0,0.02726299208352293,0.0031113297372876124,0.02965240099001676,0.5019373200000246,4.0154985600001964,19.875,19.75,0.11087020020074376,0.08455599606803293,22.481378185045948,0.9690893665158371,0.05,0.05,0.0,false,with_collision
noise_a0p05_b0p05_g0p6,8.0,0.02832578594187453,0.0030844188548552814,0.028850580099970102,0.49774172637489755,3.9819338109991804,19.875,19.75,0.11887339417866777,0.09134773033583751,24.361265041610434,0.9738970588235294,0.05,0.05,0.6,true,with_collision
noise_a0p05_b0p05_g0p8,8.0,0.02858211253401305,0.003873380879694229,0.02777956787031144,0.5069367679998322,4.055494143998658,19.875,19.75,0.12254220095977965,0.09472202096401193,23.287443609022553,0.9690893665158371,0.05,0.05,0.8,true,with_collision
noise_a0p05_b0p1_g0,8.0,0.020433187531871226,0.0020353063768068554,0.02080246980767697,0.4924527510002008,3.9396220080016064,19.875,19.75,0.09220224196132712,0.07231426486248763,14.491274661011504,0.9863970588235295,0.05,0.1,0.0,false,with_collision
noise_a0p05_b0p1_g0p6,8.0,0.022824492245978947,0.002744207076445153,0.026108728401595727,0.49109173274996465,3.928733861999717,19.875,19.75,0.10857748560940479,0.08641330267080467,16.45499847374847,0.9801470588235295,0.05,0.1,0.6,true,with_collision
noise_a0p05_b0p1_g0p8,8.0,0.024812472277092185,0.002940535969906181,0.026681557239498943,0.5094433454999034,4.0755467639992276,19.875,19.75,0.11724081208220079,0.09269954768021516,19.230931194171326,0.9738970588235294,0.05,0.1,0.8,true,with_collision
noise_a0p1_b0p005_g0,8.0,0.03393480105542653,0.006009653197268306,0.034934493829496205,0.5244989913749123,4.195991930999298,19.875,19.75,0.12624612085579984,0.09423987330637924,27.844415465747705,0.9612768665158371,0.1,0.005,0.0,false,with_collision
noise_a0p1_b0p005_g0p6,8.0,0.034294353994131596,0.006116356211328002,0.03247483231825754,0.5217091489998893,4.173673191999114,19.875,19.75,0.1290986738325988,0.09518812424377218,26.366960108604847,0.9612768665158371,0.1,0.005,0.6,true,with_collision
noise_a0p1_b0p005_g0p8,8.0,0.03486316159284002,0.006131346072375626,0.03519175641122274,0.5198307152500092,4.158645722000074,19.875,19.75,0.1295375792291648,0.09600840341821484,29.235256631161235,0.9612768665158371,0.1,0.005,0.8,true,with_collision
noise_a0p1_b0p01_g0,8.0,0.03276109900305982,0.005870494446466439,0.03399034537142143,0.520522363749933,4.164178909999464,19.875,19.75,0.12426993557678809,0.09249854503151346,27.825352965747705,0.9690893665158371,0.1,0.01,0.0,false,with_collision
noise_a0p1_b0p01_g0p6,8.0,0.03325212455626206,0.004960551817321629,0.030632367823272943,0.5199070463750104,4.159256371000083,19.875,19.75,0.12671572288895755,0.09387505438599728,24.766850459482036,0.9612768665158371,0.1,0.01,0.6,true,with_collision
noise_a0p1_b0p01_g0p8,8.0,0.03265572797316872,0.005867071220558212,0.03224192274501547,0.5069186953751341,4.055349563001073,19.875,19.75,0.1276962082223274,0.09624863164820388,27.723756004594822,0.9690893665158371,0.1,0.01,0.8,true,with_collision
noise_a0p1_b0p05_g0,8.0,0.026567961296274006,0.00322200352581474,0.02720701997168362,0.49016907787495256,3.9213526229996205,19.875,19.75,0.10984027701162379,0.08315556659047725,20.48559184419382,0.9690893665158371,0.1,0.05,0.0,false,with_collision
noise_a0p1_b0p05_g0p6,8.0,0.0273257027551781,0.0036260667038565675,0.02802543339203112,0.5010935346249425,4.00874827699954,19.875,19.75,0.11728096638621291,0.09076709205116411,22.026606881787803,0.9690893665158371,0.1,0.05,0.6,true,with_collision
noise_a0p1_b0p05_g0p8,8.0,0.028387434522616103,0.0042182731011016755,0.026804331806488335,0.49632581549985844,3.9706065239988675,19.875,19.75,0.12175985516877597,0.09363448408696434,21.37513079573935,0.9690893665158371,0.1,0.05,0.8,true,with_collision
noise_a0p1_b0p1_g0,8.0,0.019914257016567717,0.0021884286234907383,0.022560973826330155,0.5035479097500684,4.028383278000547,19.875,19.75,0.09038782903308201,0.07134037107454451,12.698107448107448,0.9801470588235295,0.1,0.1,0.0,false,with_collision
noise_a0p1_b0p1_g0p6,8.0,0.022557338154476837,0.002249336503720858,0.0248659421922639,0.49789162100000794,3.9831329680000636,19.875,19.75,0.10848502185584123,0.08652139800573774,16.228411172161174,0.9738970588235294,0.1,0.1,0.6,true,with_collision
noise_a0p1_b0p1_g0p8,8.0,0.023570565749152596,0.003028427749137572,0.025966901273932308,0.5059002626248912,4.0472021009991295,19.875,19.75,0.11326540983910825,0.09041086361112861,16.396997903412377,0.9738970588235294,0.1,0.1,0.8,true,with_collision
noise_a0p2_b0p005_g0,8.0,0.03153207588163423,0.004383082389907983,0.030798658437561244,0.49641915012489335,3.971353200999147,19.875,19.75,0.12314307758428253,0.09183712819737691,23.490970916875522,0.9612768665158371,0.2,0.005,0.0,false,with_collision
noise_a0p2_b0p005_g0p6,8.0,0.030961348133530013,0.004388774295985574,0.030545582179911435,0.4975113413750023,3.9800907310000184,19.875,19.75,0.12304116242971636,0.09345261330379799,25.2999843358396,0.9690893665158371,0.2,0.005,0.6,true,with_collision
noise_a0p2_b0p005_g0p8,8.0,0.03060227398832194,0.00433133770899908,0.03058513649739325,0.5017006116249831,4.013604892999865,19.875,19.75,0.12447315330030345,0.09449490310440874,24.946451545530493,0.9690893665158371,0.2,0.005,0.8,true,with_collision
noise_a0p2_b0p01_g0,8.0,0.030605906398885052,0.004216970114986137,0.032198915898334235,0.501645816375003,4.013166531000024,19.875,19.75,0.12153850004292446,0.091018562572967,24.51544486215539,0.9690893665158371,0.2,0.01,0.0,false,with_collision
noise_a0p2_b0p01_g0p6,8.0,0.030438045686679287,0.004019189163003601,0.030671881890157238,0.502202406500146,4.017619252001168,19.875,19.75,0.12418706266825824,0.09474641608701757,24.784626148705094,0.9690893665158371,0.2,0.01,0.6,true,with_collision
noise_a0p2_b0p01_g0p8,8.0,0.0305976116741258,0.004288623539730872,0.03389908082317561,0.4993333121251453,3.9946664970011625,19.875,19.75,0.12409670800594072,0.09432635848844975,25.684693605006103,0.9738970588235294,0.2,0.01,0.8,true,with_collision
noise_a0p2_b0p05_g0,8.0,0.02407245546929562,0.002820836902083965,0.027267338358797133,0.5049042986252061,4.039234389001649,19.875,19.75,0.10371814337367213,0.07993341270610213,18.941092615352485,0.9738970588235294,0.2,0.05,0.0,false,with_collision
noise_a0p2_b0p05_g0p6,8.0,0.025701653969966626,0.002998668741491081,0.028348452819045633,0.5017574655000772,4.014059724000617,19.875,19.75,0.11470772331257215,0.08977401537086735,20.45805519407493,0.9738970588235294,0.2,0.05,0.6,true,with_collision
noise_a0p2_b0p05_g0p8,8.0,0.027246704302088802,0.0034434976159738295,0.029164363455493003,0.5072750961251131,4.058200769000905,19.875,19.75,0.12138373682148262,0.09438638557803442,22.414578413180386,0.9738970588235294,0.2,0.05,0.8,true,with_collision
noise_a0p2_b0p1_g0,8.0,0.018769559085376385,0.0017561094536155484,0.019829260767437518,0.514069198749894,4.112553589999152,19.875,19.75,0.0873194414348518,0.06941868231471969,10.436595495148126,0.9863970588235295,0.2,0.1,0.0,false,with_collision
noise_a0p2_b0p1_g0p6,8.0,0.021541084827454142,0.002231775691139082,0.025114568590652198,0.5035396064999986,4.028316851999989,19.875,19.75,0.10532861588023507,0.08458887603769705,14.701051205738706,0.9801470588235295,0.2,0.1,0.6,true,with_collision
noise_a0p2_b0p1_g0p8,8.0,0.023060655036657406,0.0026895089053274998,0.022140269866213202,0.5108759046249816,4.0870072369998525,19.875,19.75,0.11225347159048199,0.08988534419210023,15.78121565934066,0.9738970588235294,0.2,0.1,0.8,true,with_collision
