suite,run_dir,scenario,comparison,condition_a,condition_b,metric,n_pairs,wilcoxon_stat,p_value,rank_biserial_corr,mean_diff_a_minus_b,median_diff_a_minus_b,method,p_value_holm,significant_0p05_holm
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_baseline,noise_alpha_jerk_smoothed,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,-1.0,-0.11684782138919368,-0.019723777422401143,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_baseline,noise_alpha_jerk_smoothed,baseline,final_step_rmse,50.0,273.0,0.0002857006608838475,-0.571764705882353,-0.04960977902403101,-0.003890862688422203,scipy,0.0024161542470917396,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_baseline,noise_alpha_jerk_smoothed,baseline,collision_peak_rmse_mean,50.0,0.0,1.7763568394002505e-15,-1.0,-0.1560906573794694,-0.03237352861715165,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_smoothed_vs_baseline,noise_alpha_jerk_smoothed,baseline,collision_recovery_time_mean_steps,50.0,1.0,3.552713678800501e-15,-0.9984313725490196,-20.96313012093926,-21.017343962571204,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_only_vs_baseline,noise_alpha_only,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,-1.0,-0.10961792167245318,-0.012720242237731874,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_only_vs_baseline,noise_alpha_only,baseline,final_step_rmse,50.0,272.0,0.0002738644978439453,-0.5733333333333334,-0.04221511173876934,-0.003891821252182126,scipy,0.0024161542470917396,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_only_vs_baseline,noise_alpha_only,baseline,collision_peak_rmse_mean,50.0,0.0,1.7763568394002505e-15,-1.0,-0.14463338517489885,-0.021375315079218422,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_only_vs_baseline,noise_alpha_only,baseline,collision_recovery_time_mean_steps,50.0,14.0,1.9539925233402755e-13,-0.9780392156862745,-10.370781343628828,-10.759695372380776,scipy,7.034373084024992e-12,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_jerk_only_vs_baseline,noise_jerk_only,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,-1.0,-0.11961480663848711,-0.02216526549587761,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_jerk_only_vs_baseline,noise_jerk_only,baseline,final_step_rmse,50.0,189.0,4.521505763577238e-06,-0.7035294117647058,-0.05109493368538096,-0.007403789088129997,scipy,0.00010399463256227648,true
